sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,description,image,image_label,msrp_display_actual_price_type,name,price,short_description,small_image,small_image_label,special_price,status,thumbnail,thumbnail_label,updated_at,url_key,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
,,,,"Electronics/Mobiles & Accessories /Mobile Accessories/Headsets",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Electronics/Mobiles & Accessories /Mobile Accessories/Headsets/Bluetooth Headsets",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EB425161LUCINU,,Default,simple,,Home,base,"Product Overview : This Standard Battery for Samsung Galaxy S DUOS is the best to offer a complete power solution to your phone. Now donâ€TMt let fake batteries to affect your work, as with this battery you will be every time be charged and can begin your talk. Product Functionality : Thin and lightweight this battery is the best for your Samsung phone. Replace with this and get a peaceful usage experience. Special Features : • Comes genuinely from the house of Samsung • Uses lithium-Ion technology to ensure maximum battery life and power • Rechargeable battery with 1500mAh capacity • Specially designed to work with your Samsung Galaxy S DUOS 

 Technical Details
Brand	Samsung
Model	EB425161LUCINU
Model Name	EB425161LUCINU
Item Weight	68 g
Product Dimensions	12.4 x 8.4 x 1.6 cm
Item model number	EB425161LUCINU
Compatible Devices	Samsung S7562
Number Of Items	1
Battery Cell Composition	Lithium Ion
Battery Power	1500 milliamp_hours",,,"Use config","Samsung EB425161LUCINU 1500mAH Battery for Galaxy S Duos",1299.0000,"Product Overview : This Standard Battery for Samsung Galaxy S DUOS is the best to offer a complete power solution to your phone. Now donâ€TMt let fake batteries to affect your work, as with this battery you will be every time be charged and can begin your talk. Product Functionality : Thin and lightweight this battery is the best for your Samsung phone. Replace with this and get a peaceful usage experience. Special Features : • Comes genuinely from the house of Samsung • Uses lithium-Ion technology to ensure maximum battery life and power • Rechargeable battery with 1500mAh capacity • Specially designed to work with your Samsung Galaxy S DUOS ",,,,2,,,"2015-03-28 11:23:21",samsung-eb425161lucinu-1500mah-battery-for-galaxy-s-duos,4,1.0000,2.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Electronics,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Electronics/Mobiles & Accessories ",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Electronics/Mobiles & Accessories /Mobile Accessories",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Electronics/Mobiles & Accessories /Mobile Accessories/Batteries",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M165,,Default,simple,,Home,base,"The Plantronics Marque 2 headset, a perfect companion for smartphones, now features DeepSleep power-saving mode and dual microphones that reduce noise and wind for clear, crisp call quality. You can also listen to music or stream audio and Internet radio, and you can manage your calls without pressing buttons– just say ""Answer"" or ""Ignore."" With more ways to enhance your conversation, the Marque 2 makes it easier to enjoy being hands free. Feature: Dual microphones reduce noise and wind, giving you better call quality. DeepSleep power-saving mode helps keep your headset ready when you forget it in the car, at your desk, or around the house. Just say ""Answer"" or ""Ignore"" to handle your calls – no buttons to press. Three sizes of flexible silicone eartips (S, M, L) and an optional earloop provide a comfortable, stable fit Use your headset to listen to music, movies, Internet radio, and driving directions. Headset battery meter for iPhone and iPad. Specification : Size (LWH): 1.94 inches, 0.55 inches, 0.36 inches Weight: 0.32 ounces 


    Dual microphones reduce noise and wind, giving you better call quality
    DeepSleep power-saving mode helps keep your headset ready when you forget it in the car, at your desk, or around the house
    Three sizes of flexible silicone eartips (S, M, L) and an optional earloop provide a comfortable, stable fit
    Use your headset to listen to music, movies, Internet radio, and driving directions
    Just say ""Answer"" or ""Ignore"" to handle your calls - no buttons to press.


 Technical Details
Brand	Plantronics
Model	M165 Marque 2, Black
Model Year	2013
Item Weight	9 g
Product Dimensions	4.9 x 1.4 x 0.9 cm
Batteries:	1 Lithium ion batteries required. (included)
Item model number	M165 Marque 2, Black
Compatible Devices	Bluetooth Headset
Batteries Included	Yes
Batteries Required	Yes
Includes AC Adapter	Yes
Supports Bluetooth Technology	Yes",,,"Use config","Plantronics M165 Marque 2 Ultralight Bluetooth Headset - Retail Packaging - Black",4375.0000,"The Plantronics Marque 2 headset, a perfect companion for smartphones, now features DeepSleep power-saving mode and dual microphones that reduce noise and wind for clear, crisp call quality. You can also listen to music or stream audio and Internet radio, and you can manage your calls without pressing buttons– just say ""Answer"" or ""Ignore."" With more ways to enhance your conversation, the Marque 2 makes it easier to enjoy being hands free. Feature: Dual microphones reduce noise and wind, giving you better call quality. DeepSleep power-saving mode helps keep your headset ready when you forget it in the car, at your desk, or around the house. Just say ""Answer"" or ""Ignore"" to handle your calls – no buttons to press. Three sizes of flexible silicone eartips (S, M, L) and an optional earloop provide a comfortable, stable fit Use your headset to listen to music, movies, Internet radio, and driving directions. Headset battery meter for iPhone and iPad. Specification : Size (LWH): 1.94 inches, 0.55 inches, 0.36 inches Weight: 0.32 ounces ",,,3200.0000,2,,,"2015-03-28 11:27:38",plantronics-m165-marque-2-ultralight-bluetooth-headset-retail-packaging-black,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,Electronics,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Electronics/Mobiles & Accessories ",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Electronics/Mobiles & Accessories /Mobile Accessories",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Electronics/Mobiles & Accessories /Mobile Accessories/Headsets",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Electronics/Mobiles & Accessories /Mobile Accessories/Headsets/Bluetooth Headsets",Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
